Transactions,item1,item2,item3,item4,item5,item6,item7
1,baguette,soda,herring,crackers,Heineken,olives,corned beef
2,avocado,crackers,artichoke,Heineken,ham,turkey,sardines
3,olives,bourbon,Coke,turkey,ice cream,ham,peppers
4,herring,corned beef,apples,olives,steak,avocado,turkey
5,sardines,Heineken,chicken,Coke,ice cream,peppers,ham
6,olives,bourbon,Coke,turkey,ice cream,Heineken,apples
7,corned beef,peppers,bourbon,crackers,chicken,ice cream,baguette
8,soda,olives,bourbon,crackers,Heineken,peppers,baguette
9,corned beef,peppers,bourbon,crackers,chicken,Bordeaux,herring
10,baguette,sardines,apples,peppers,avocado,steak,turkey
11,baguette,herring,avocado,artichoke,Heineken,apples,corned beef
12,herring,corned beef,apples,olives,steak,sardines,Heineken
13,baguette,sardines,apples,peppers,avocado,steak,ice cream
14,herring,corned beef,olives,ham,turkey,Coke,apples
15,olives,bourbon,Coke,turkey,ice cream,artichoke,ham
16,baguette,herring,avocado,artichoke,Heineken,Coke,turkey
17,sardines,Heineken,chicken,Coke,ice cream,corned beef,apples
18,soda,olives,bourbon,crackers,Heineken,baguette,peppers
19,soda,olives,bourbon,crackers,Heineken,steak,herring
20,herring,corned beef,olives,ham,turkey,apples,baguette
21,baguette,herring,avocado,artichoke,Heineken,bourbon,corned beef
22,soda,olives,bourbon,crackers,Heineken,artichoke,steak
23,soda,olives,bourbon,crackers,Heineken,corned beef,herring
24,sardines,Heineken,chicken,Coke,ice cream,apples,baguette
25,sardines,Heineken,chicken,Coke,ice cream,corned beef,peppers
26,olives,bourbon,Coke,turkey,ice cream,apples,baguette
27,olives,bourbon,Coke,turkey,ice cream,soda,avocado
28,soda,olives,bourbon,crackers,Heineken,artichoke,peppers
29,olives,bourbon,Coke,turkey,ice cream,sardines,soda
30,olives,bourbon,Coke,turkey,ice cream,soda,ham
31,corned beef,peppers,bourbon,crackers,chicken,herring,Coke
32,baguette,sardines,apples,peppers,avocado,corned beef,chicken
33,soda,olives,bourbon,crackers,Heineken,Bordeaux,ham
34,baguette,herring,avocado,artichoke,Heineken,Bordeaux,soda
35,herring,corned beef,olives,ham,turkey,crackers,baguette
36,avocado,crackers,artichoke,Heineken,ham,corned beef,sardines
37,soda,olives,bourbon,crackers,Heineken,apples,steak
38,baguette,herring,avocado,artichoke,Heineken,soda,ham
39,sardines,Heineken,chicken,Coke,ice cream,artichoke,steak
40,soda,olives,bourbon,crackers,Heineken,artichoke,Coke
41,herring,corned beef,apples,olives,steak,baguette,chicken
42,sardines,Heineken,chicken,Coke,ice cream,crackers,steak
43,soda,olives,bourbon,crackers,Heineken,steak,herring
44,herring,corned beef,olives,ham,turkey,bourbon,Heineken
45,corned beef,peppers,bourbon,crackers,chicken,ice cream,ice cream
46,baguette,sardines,apples,peppers,avocado,chicken,steak
47,baguette,soda,herring,crackers,Heineken,sardines,artichoke
48,corned beef,peppers,bourbon,crackers,chicken,turkey,ice cream
49,avocado,crackers,artichoke,Heineken,ham,sardines,herring
50,soda,olives,bourbon,crackers,Heineken,Bordeaux,avocado
51,baguette,sardines,apples,peppers,avocado,turkey,ice cream
52,baguette,soda,herring,crackers,Heineken,olives,avocado
53,baguette,herring,avocado,artichoke,Heineken,corned beef,chicken
54,herring,corned beef,olives,ham,turkey,avocado,baguette
55,baguette,soda,herring,crackers,Heineken,corned beef,ham
56,sardines,Heineken,chicken,Coke,ice cream,olives,corned beef
57,baguette,soda,herring,crackers,Heineken,avocado,avocado
58,soda,olives,bourbon,crackers,Heineken,ham,peppers
59,corned beef,peppers,bourbon,crackers,chicken,steak,apples
60,baguette,soda,herring,crackers,Heineken,artichoke,chicken
61,avocado,crackers,artichoke,Heineken,ham,herring,steak
62,herring,corned beef,apples,olives,steak,ham,ice cream
63,baguette,herring,avocado,artichoke,Heineken,steak,turkey
64,baguette,sardines,apples,peppers,avocado,Bordeaux,crackers
65,baguette,soda,herring,crackers,Heineken,chicken,corned beef
66,baguette,sardines,apples,peppers,avocado,crackers,bourbon
67,herring,corned beef,apples,olives,steak,Coke,soda
68,olives,bourbon,Coke,turkey,ice cream,sardines,avocado
69,corned beef,peppers,bourbon,crackers,chicken,soda,ice cream
70,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
71,herring,corned beef,olives,ham,turkey,Coke,apples
72,herring,corned beef,apples,olives,steak,soda,avocado
73,baguette,sardines,apples,peppers,avocado,turkey,soda
74,sardines,Heineken,chicken,Coke,ice cream,avocado,baguette
75,corned beef,peppers,bourbon,crackers,chicken,apples,Coke
76,herring,corned beef,olives,ham,turkey,peppers,crackers
77,olives,bourbon,Coke,turkey,ice cream,crackers,corned beef
78,baguette,herring,avocado,artichoke,Heineken,ham,apples
79,corned beef,peppers,bourbon,crackers,chicken,steak,turkey
80,avocado,crackers,artichoke,Heineken,ham,soda,steak
81,avocado,crackers,artichoke,Heineken,ham,corned beef,baguette
82,corned beef,peppers,bourbon,crackers,chicken,herring,apples
83,herring,corned beef,apples,olives,steak,Coke,ham
84,avocado,crackers,artichoke,Heineken,ham,herring,soda
85,herring,corned beef,apples,olives,steak,baguette,turkey
86,herring,corned beef,olives,ham,turkey,chicken,Coke
87,herring,corned beef,apples,olives,steak,Coke,artichoke
88,herring,corned beef,olives,ham,turkey,apples,ice cream
89,avocado,crackers,artichoke,Heineken,ham,steak,olives
90,baguette,soda,herring,crackers,Heineken,peppers,corned beef
91,baguette,herring,avocado,artichoke,Heineken,Bordeaux,corned beef
92,baguette,soda,herring,crackers,Heineken,ice cream,chicken
93,soda,olives,bourbon,crackers,Heineken,apples,corned beef
94,corned beef,peppers,bourbon,crackers,chicken,apples,Coke
95,herring,corned beef,olives,ham,turkey,ice cream,artichoke
96,sardines,Heineken,chicken,Coke,ice cream,corned beef,corned beef
97,olives,bourbon,Coke,turkey,ice cream,Heineken,soda
98,soda,olives,bourbon,crackers,Heineken,steak,sardines
99,herring,corned beef,apples,olives,steak,peppers,baguette
100,baguette,sardines,apples,peppers,avocado,soda,Coke
101,herring,corned beef,olives,ham,turkey,peppers,ice cream
102,herring,corned beef,olives,ham,turkey,bourbon,bourbon
103,baguette,soda,herring,crackers,Heineken,peppers,sardines
104,avocado,crackers,artichoke,Heineken,ham,corned beef,sardines
105,herring,corned beef,apples,olives,steak,baguette,ham
106,corned beef,peppers,bourbon,crackers,chicken,baguette,herring
107,sardines,Heineken,chicken,Coke,ice cream,ham,corned beef
108,baguette,herring,avocado,artichoke,Heineken,ham,corned beef
109,soda,olives,bourbon,crackers,Heineken,avocado,chicken
110,baguette,sardines,apples,peppers,avocado,Heineken,herring
111,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,olives
112,baguette,sardines,apples,peppers,avocado,chicken,turkey
113,sardines,Heineken,chicken,Coke,ice cream,turkey,herring
114,olives,bourbon,Coke,turkey,ice cream,steak,Heineken
115,soda,olives,bourbon,crackers,Heineken,ham,avocado
116,herring,corned beef,olives,ham,turkey,bourbon,sardines
117,sardines,Heineken,chicken,Coke,ice cream,apples,apples
118,olives,bourbon,Coke,turkey,ice cream,herring,ham
119,herring,corned beef,apples,olives,steak,chicken,ham
120,baguette,herring,avocado,artichoke,Heineken,chicken,crackers
121,baguette,sardines,apples,peppers,avocado,chicken,artichoke
122,baguette,soda,herring,crackers,Heineken,bourbon,peppers
123,soda,olives,bourbon,crackers,Heineken,ice cream,sardines
124,baguette,herring,avocado,artichoke,Heineken,soda,chicken
